sample_index,method,top_k,num_gold_sf,num_retrieved_sf,correct_matches,recall,precision,f1
0,BM25_Only,3,2,3,2,1.0,0.6666666666666666,0.8
0,BM25_Only,6,2,6,2,1.0,0.3333333333333333,0.5
1,BM25_Only,3,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,BM25_Only,4,3,4,2,0.6666666666666666,0.5,0.5714285714285715
1,BM25_Only,5,3,5,2,0.6666666666666666,0.4,0.5
1,BM25_Only,6,3,6,2,0.6666666666666666,0.3333333333333333,0.4444444444444444
1,BM25_Only,7,3,7,2,0.6666666666666666,0.2857142857142857,0.4
1,BM25_Only,8,3,8,2,0.6666666666666666,0.25,0.3636363636363636
1,BM25_Only,9,3,9,2,0.6666666666666666,0.2222222222222222,0.3333333333333333
1,BM25_Only,10,3,10,3,1.0,0.3,0.4615384615384615
2,BM25_Only,3,2,3,2,1.0,0.6666666666666666,0.8
2,BM25_Only,6,2,6,2,1.0,0.3333333333333333,0.5
3,BM25_Only,3,2,3,2,1.0,0.6666666666666666,0.8
3,BM25_Only,6,2,6,2,1.0,0.3333333333333333,0.5
4,BM25_Only,3,2,3,1,0.5,0.3333333333333333,0.4
4,BM25_Only,4,2,4,1,0.5,0.25,0.3333333333333333
4,BM25_Only,5,2,5,1,0.5,0.2,0.2857142857142857
4,BM25_Only,6,2,6,2,1.0,0.3333333333333333,0.5
5,BM25_Only,3,2,3,1,0.5,0.3333333333333333,0.4
5,BM25_Only,4,2,4,1,0.5,0.25,0.3333333333333333
5,BM25_Only,5,2,5,1,0.5,0.2,0.2857142857142857
5,BM25_Only,6,2,6,1,0.5,0.1666666666666666,0.25
5,BM25_Only,7,2,7,1,0.5,0.1428571428571428,0.2222222222222222
5,BM25_Only,8,2,8,1,0.5,0.125,0.2
5,BM25_Only,9,2,9,1,0.5,0.1111111111111111,0.1818181818181818
5,BM25_Only,10,2,10,1,0.5,0.1,0.1666666666666666
5,BM25_Only,11,2,11,1,0.5,0.0909090909090909,0.1538461538461538
5,BM25_Only,12,2,12,1,0.5,0.0833333333333333,0.1428571428571428
